Release Date,Time,Actual,Forecast,Previous
12-Mar-25,8:30,,,3.614M
5-Mar-25,10:30,3.614M,0.600M,-2.332M
26-Feb-25,10:00,-2.332M,2.500M,4.633M
20-Feb-25,12:00,4.633M,3.200M,4.070M
12-Feb-25,10:30,4.070M,2.400M,8.664M
5-Feb-25,10:30,8.664M,2.400M,3.463M
29-Jan-25,10:30,3.463M,2.200M,-1.017M
23-Jan-25,12:00,-1.017M,-2.100M,-1.962M
15-Jan-25,10:30,-1.962M,-3.500M,-0.959M
8-Jan-25,10:30,-0.959M,-1.800M,-1.178M
2-Jan-25,11:00,-1.178M,-2.400M,-4.237M
27-Dec-24,13:00,-4.237M,-0.700M,-0.934M
18-Dec-24,10:30,-0.934M,-1.600M,-1.425M
11-Dec-24,10:30,-1.425M,-1.000M,-5.073M
4-Dec-24,10:30,-5.073M,-1.600M,-1.844M
27-Nov-24,10:30,-1.844M,-1.300M,0.545M
20-Nov-24,10:30,0.545M,0.400M,2.089M
14-Nov-24,11:00,2.089M,0.400M,2.149M
6-Nov-24,10:30,2.149M,0.300M,-0.515M
30-Oct-24,9:30,-0.515M,1.500M,5.474M
23-Oct-24,9:30,5.474M,0.800M,-2.191M
17-Oct-24,10:00,-2.191M,1.800M,5.810M
9-Oct-24,9:30,5.810M,2.000M,3.889M
2-Oct-24,9:30,3.889M,-1.500M,-4.471M
25-Sep-24,9:30,-4.471M,-1.300M,-1.630M
18-Sep-24,9:30,-1.630M,-0.200M,0.833M
11-Sep-24,9:30,0.833M,0.900M,-6.873M
5-Sep-24,10:00,-6.873M,-0.600M,-0.846M
28-Aug-24,9:30,-0.846M,-2.700M,-4.649M
21-Aug-24,9:30,-4.649M,-2.000M,1.357M
14-Aug-24,9:30,1.357M,-1.900M,-3.728M
7-Aug-24,9:30,-3.728M,-1.600M,-3.436M
31-Jul-24,9:30,-3.436M,-1.600M,-3.741M
24-Jul-24,9:30,-3.741M,-2.600M,-4.870M
17-Jul-24,9:30,-4.870M,-0.900M,-3.443M
10-Jul-24,9:30,-3.443M,0.700M,-12.157M
3-Jul-24,9:30,-12.157M,-0.400M,3.591M
26-Jun-24,9:30,3.591M,-2.600M,-2.547M
20-Jun-24,10:00,-2.547M,-2.800M,3.730M
12-Jun-24,9:30,3.730M,-1.200M,1.233M
5-Jun-24,9:30,1.233M,-2.100M,-4.156M
30-May-24,10:00,-4.156M,-1.600M,1.825M
22-May-24,9:30,1.825M,-2.400M,-2.508M
15-May-24,9:30,-2.508M,-0.400M,-1.362M
8-May-24,9:30,-1.362M,-1.430M,7.265M
1-May-24,9:30,7.265M,-2.300M,-6.368M
24-Apr-24,9:30,-6.368M,1.600M,2.735M
17-Apr-24,9:30,2.735M,1.600M,5.841M
10-Apr-24,9:30,5.841M,0.900M,3.210M
3-Apr-24,9:30,3.210M,-0.300M,3.165M
27-Mar-24,9:30,3.165M,-0.700M,-1.952M
20-Mar-24,9:30,-1.952M,-0.900M,-1.536M
13-Mar-24,9:30,-1.536M,0.900M,1.367M
6-Mar-24,10:30,1.367M,2.400M,4.199M
28-Feb-24,10:30,4.199M,3.100M,3.514M
22-Feb-24,11:00,3.514M,3.879M,12.018M
14-Feb-24,10:30,12.018M,3.300M,5.521M
7-Feb-24,10:30,5.520M,1.700M,1.234M
31-Jan-24,10:30,1.234M,-0.217M,-9.233M
24-Jan-24,10:30,-9.233M,-2.150M,-2.492M
18-Jan-24,11:00,-2.492M,-0.313M,1.338M
10-Jan-24,10:30,1.338M,-0.675M,-5.503M
4-Jan-24,11:00,-5.503M,-3.725M,-7.114M
28-Dec-23,11:00,-7.114M,-2.704M,2.909M
20-Dec-23,10:30,2.909M,-2.283M,-4.259M
13-Dec-23,10:30,-4.259M,-0.650M,-4.632M
6-Dec-23,10:30,-4.632M,-1.354M,1.609M
29-Nov-23,10:30,1.609M,-0.933M,8.701M
